Trans#,Date,Time,SubTot,Disc,Ship,Tax,Total,Cost,#Trns
10479,06/28/16, 9:07 am,19.00,0.00,0.00,1.47,20.47,13.42,1
10480,06/28/16, 9:17 am,25.00,0.00,0.00,1.94,26.94,17.25,2
10481,06/28/16,10:19 am,1.86,0.00,0.00,0.14,2.00,0.68,2
10482,06/28/16,11:05 am,27.00,0.00,0.00,2.09,29.09,18.78,2
10483,06/28/16,11:08 am,6.50,0.00,0.00,0.50,7.00,4.49,1
10484,06/28/16,11:21 am,10.00,0.00,0.00,0.78,10.78,6.64,1
10486,06/28/16,11:29 am,7.00,0.00,0.00,0.54,7.54,5.30,1
10487,06/28/16,11:51 am,21.00,0.00,0.00,1.63,22.63,14.68,2
10488,06/28/16,12:50 pm,23.00,0.00,0.00,1.78,24.78,19.75,1
10489,06/28/16, 1:01 pm,22.00,0.00,0.00,1.71,23.71,14.81,1
10490,06/28/16, 1:08 pm,13.00,0.00,0.00,1.01,14.01,10.00,1
10491,06/28/16, 1:11 pm,9.00,0.00,0.00,0.70,9.70,6.07,1
10492,06/28/16, 1:38 pm,19.00,0.00,0.00,1.47,20.47,4.35,2
10493,06/28/16, 1:44 pm,34.00,0.00,0.00,2.64,36.64,21.69,3
10494,06/28/16, 1:49 pm,9.00,0.00,0.00,0.70,9.70,7.31,1
10495,06/28/16, 1:58 pm,8.50,0.00,0.00,0.66,9.16,5.45,2
10497,06/28/16, 2:00 pm,20.00,0.00,0.00,1.55,21.55,14.14,2
10498,06/28/16, 2:00 pm,11.00,0.00,0.00,0.85,11.85,7.11,1
10499,06/28/16, 2:03 pm,32.00,0.00,0.00,2.48,34.48,17.20,2
10500,06/28/16, 2:21 pm,11.00,0.00,0.00,0.85,11.85,7.30,1
10501,06/28/16, 2:24 pm,24.00,0.00,0.00,1.86,25.86,11.57,2
10502,06/28/16, 2:26 pm,10.00,0.00,0.00,0.78,10.78,6.00,1
10503,06/28/16, 2:33 pm,26.10,0.00,0.00,2.02,28.12,19.68,1
10504,06/28/16, 2:35 pm,15.00,0.00,0.00,1.16,16.16,8.97,3
10505,06/28/16, 2:44 pm,17.00,0.00,0.00,1.32,18.32,2.47,1
10506,06/28/16, 3:03 pm,33.00,0.00,0.00,2.56,35.56,21.43,2
10507,06/28/16, 3:13 pm,20.00,0.00,0.00,1.55,21.55,13.98,2
10508,06/28/16, 3:15 pm,25.00,0.00,0.00,1.94,26.94,16.78,2
10509,06/28/16, 3:19 pm,49.00,0.00,0.00,3.80,52.80,28.98,3
10510,06/28/16, 3:22 pm,10.00,0.00,0.00,0.78,10.78,6.99,1
10511,06/28/16, 3:38 pm,25.00,0.00,0.00,1.94,26.94,17.00,1
10512,06/28/16, 3:42 pm,64.00,0.00,0.00,4.96,68.96,44.67,6
10513,06/28/16, 3:45 pm,24.00,0.00,0.00,1.86,25.86,8.14,2
10514,06/28/16, 3:49 pm,25.00,0.00,0.00,1.94,26.94,17.49,1
10515,06/28/16, 3:51 pm,4.50,0.00,0.00,0.35,4.85,1.71,3
10516,06/28/16, 3:51 pm,34.00,0.00,0.00,2.64,36.64,23.75,2
10517,06/28/16, 3:54 pm,14.00,0.00,0.00,1.09,15.09,8.99,1
10518,06/28/16, 4:00 pm,8.00,0.00,0.00,0.62,8.62,5.58,1
10519,06/28/16, 4:09 pm,66.60,0.00,0.00,5.16,71.76,48.33,3
10520,06/28/16, 4:13 pm,28.00,0.00,0.00,2.17,30.17,17.20,2
10521,06/28/16, 4:16 pm,12.00,0.00,0.00,0.93,12.93,8.24,1
10522,06/28/16, 4:21 pm,7.00,0.00,0.00,0.54,7.54,4.35,1
10523,06/28/16, 4:35 pm,20.00,0.00,0.00,1.55,21.55,13.00,2
10524,06/28/16, 4:36 pm,10.00,0.00,0.00,0.78,10.78,7.11,1
10525,06/28/16, 4:42 pm,20.00,0.00,0.00,1.55,21.55,13.98,2
10526,06/28/16, 4:49 pm,23.00,0.00,0.00,1.78,24.78,16.65,2
10527,06/28/16, 4:49 pm,14.00,0.00,0.00,1.09,15.09,10.72,1
10528,06/28/16, 4:56 pm,10.00,0.00,0.00,0.78,10.78,6.72,1
10529,06/28/16, 4:56 pm,27.00,0.00,0.00,2.09,29.09,16.44,1
10530,06/28/16, 5:00 pm,9.90,0.00,0.00,0.77,10.67,7.49,1
10531,06/28/16, 5:02 pm,9.00,0.00,0.00,0.70,9.70,7.11,1
10532,06/28/16, 5:02 pm,10.00,0.00,0.00,0.78,10.78,6.99,1
10533,06/28/16, 5:04 pm,9.00,0.00,0.00,0.70,9.70,6.99,1
10534,06/28/16, 5:05 pm,8.00,0.00,0.00,0.62,8.62,4.11,1
10535,06/28/16, 5:06 pm,10.00,0.00,0.00,0.78,10.78,7.19,1
10536,06/28/16, 5:07 pm,146.00,0.00,0.00,11.32,157.32,102.96,5
10537,06/28/16, 5:08 pm,22.00,0.00,0.00,1.71,23.71,14.81,1
10538,06/28/16, 5:09 pm,10.00,0.00,0.00,0.78,10.78,6.00,1
10539,06/28/16, 5:09 pm,10.00,0.00,0.00,0.78,10.78,6.99,1
10540,06/28/16, 5:10 pm,11.00,0.00,0.00,0.85,11.85,8.29,1
10541,06/28/16, 5:11 pm,41.00,0.00,0.00,3.18,44.18,19.29,3
10542,06/28/16, 5:12 pm,9.00,0.00,0.00,0.70,9.70,6.99,1
10543,06/28/16, 5:16 pm,30.00,0.00,0.00,2.33,32.33,19.58,2
10544,06/28/16, 5:17 pm,17.10,0.00,0.00,1.33,18.43,14.49,2
10545,06/28/16, 5:25 pm,13.00,0.00,0.00,1.01,14.01,9.23,1
10546,06/28/16, 5:28 pm,55.00,0.00,0.00,4.26,59.26,39.99,1
10547,06/28/16, 5:30 pm,13.00,0.00,0.00,1.01,14.01,9.23,1
10548,06/28/16, 5:32 pm,18.00,0.00,0.00,1.40,19.40,12.80,1
10549,06/28/16, 5:41 pm,12.00,0.00,0.00,0.93,12.93,8.33,1
10550,06/28/16, 5:43 pm,13.00,0.00,0.00,1.01,14.01,9.23,1
10551,06/28/16, 5:44 pm,9.00,0.00,0.00,0.70,9.70,6.43,1
10552,06/28/16, 5:45 pm,10.00,0.00,0.00,0.78,10.78,0.00,1
10553,06/28/16, 5:48 pm,10.00,0.00,0.00,0.78,10.78,7.68,1
10554,06/28/16, 5:49 pm,10.00,0.00,0.00,0.78,10.78,5.72,1
10555,06/28/16, 6:00 pm,19.00,0.00,0.00,1.47,20.47,13.37,2
10556,06/28/16, 6:01 pm,11.09,0.00,0.00,0.86,11.95,8.07,2
10557,06/28/16, 6:02 pm,14.00,0.00,0.00,1.09,15.09,10.71,1
10558,06/28/16, 6:03 pm,7.00,0.00,0.00,0.54,7.54,4.46,2
10559,06/28/16, 6:05 pm,17.50,0.00,0.00,1.36,18.86,9.99,4
